"Source:","D:\Projekty\FAMO\current3Av2\current3Av2.sch"
"Date:","03.01.2023 12:33:08"
"Tool:","Eeschema (5.1.12)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","241"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Comm","Vendor"
"","","5V1","TestPoint","Connector:TestPoint","Connectors_TestPoints:Test_Point_THTPad_1.5x1.5mm_Drill0.7mm","~","",""
"","","8V1","TestPoint","Connector:TestPoint","Connectors_TestPoints:Test_Point_THTPad_1.5x1.5mm_Drill0.7mm","~","",""
"","","12V1","TestPoint","Connector:TestPoint","Connectors_TestPoints:Test_Point_THTPad_1.5x1.5mm_Drill0.7mm","~","",""
"","","15V1","TestPoint","Connector:TestPoint","Connectors_TestPoints:Test_Point_THTPad_1.5x1.5mm_Drill0.7mm","~","",""
"","","C1","1n C0G 50V","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C2","10u 25V X5R","Device:C","Capacitors_SMD:C_0603","~","GRM188R61E106KA73D",""
"","","C3","10u 25V X5R","Device:C","Capacitors_SMD:C_0603","~","GRM188R61E106KA73D",""
"","","C4","2200u 16V 105°C ","Device:CP","Capacitors_THT:CP_Radial_D14.0mm_P5.00mm","~",">5000h Ø13x25mm P=5mm",""
"","","C5","100n 50V X7R","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C6","470n 100V X7R","Device:C","Capacitors_SMD:C_0805","~","",""
"","","C7","10u 25V X5R","Device:C","Capacitors_SMD:C_0603","~","GRM188R61E106KA73D",""
"","","C8","100n 50V X7R","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C9","2200u 16V 105°C ","Device:CP","Capacitors_THT:CP_Radial_D14.0mm_P5.00mm","~",">5000h Ø13x25mm P=5mm",""
"","","C10","10u 25V X5R","Device:C","Capacitors_SMD:C_0603","~","GRM188R61E106KA73D",""
"","","C11","10u 25V X5R","Device:C","Capacitors_SMD:C_0603","~","GRM188R61E106KA73D",""
"","","C12","100n 50V X7R","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C13","100p C0G 50V","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C14","10u 25V X5R","Device:C","Capacitors_SMD:C_0603","~","GRM188R61E106KA73D",""
"","","C15","1n C0G 50V","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C16","470n 100V X7R","Device:C","Capacitors_SMD:C_0805","~","",""
"","","C17","10u 25V X5R","Device:C","Capacitors_SMD:C_0603","~","GRM188R61E106KA73D",""
"","","C18","100n 50V X7R","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C19","100u 16V","Device:CP","Capacitors_Tantalum_SMD:CP_Tantalum_Case-D_EIA-7343-31_Reflow","~","tantal, case D",""
"","","C20","GRM32ER71H106KA12L","Device:C","Capacitors_SMD:C_1210","~","10u 50V X7R Murata",""
"","","C21","100n 50V X7R","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C22","10u 25V X5R","Device:C","Capacitors_SMD:C_0603","~","GRM188R61E106KA73D",""
"","","C23","10u 25V X5R","Device:C","Capacitors_SMD:C_0603","~","GRM188R61E106KA73D",""
"","","C24","100n 50V X7R","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C25","2200u 16V 105°C ","Device:CP","Capacitors_THT:CP_Radial_D14.0mm_P5.00mm","~",">5000h Ø13x25mm P=5mm",""
"","","C26","100n 50V X7R","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C27","56p 50V C0G","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C28","10u 25V X5R","Device:C","Capacitors_SMD:C_0603","~","GRM188R61E106KA73D",""
"","","C29","GRM32ER71E226KE15K","Device:C","Capacitors_SMD:C_1210","~","22u 25V X7R Murata",""
"","","C30","GRM32ER71H106KA12L","Device:C","Capacitors_SMD:C_1210","~","10u 50V X7R Murata",""
"","","C31","100n 50V X7R","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C32","100n 50V X7R","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C33","100p C0G 50V","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C34","10u 25V X5R","Device:C","Capacitors_SMD:C_0603","~","GRM188R61E106KA73D",""
"","","C35","1n C0G 50V","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C36","10u 25V X5R","Device:C","Capacitors_SMD:C_0603","~","GRM188R61E106KA73D",""
"","","C37","100n 50V C0G","Device:C","Capacitors_SMD:C_1206","~","",""
"","","C38","100n 50V X7R","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C39","100n 50V C0G","Device:C","Capacitors_SMD:C_1206","~","",""
"","","C40","100n 50V C0G","Device:C","Capacitors_SMD:C_1206","~","",""
"","","C41","GRM32ER71E226KE15K","Device:C","Capacitors_SMD:C_1210","~","22u 25V X7R Murata",""
"","","C42","100n 50V X7R","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C43","2,2u 25V X7R","Device:C","Capacitors_SMD:C_0805","~","",""
"","","C44","10n 100V X7R","Device:C","Capacitors_SMD:C_0805","~","",""
"","","C45","10u 25V X5R","Device:C","Capacitors_SMD:C_0603","~","GRM188R61E106KA73D",""
"","","C46","100n 50V X7R","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C47","470n 25V X7R","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C48","2200u 16V 105°C ","Device:CP","Capacitors_THT:CP_Radial_D14.0mm_P5.00mm","~",">5000h Ø13x25mm P=5mm",""
"","","C49","470n 25V X7R","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C50","2,2u 25V X7R","Device:C","Capacitors_SMD:C_0805","~","",""
"","","C51","100n 50V X7R","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C52","100n 50V X7R","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C53","100p C0G 50V","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C54","10u 25V X5R","Device:C","Capacitors_SMD:C_0603","~","GRM188R61E106KA73D",""
"","","C55","1n C0G 50V","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C56","10u 25V X5R","Device:C","Capacitors_SMD:C_0603","~","GRM188R61E106KA73D",""
"","","C57","1u 25V X7R","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C58","100n 50V X7R","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C59","1u 25V X7R","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C60","82p 50V C0G","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C61","GRM32ER71H106KA12L","Device:C","Capacitors_SMD:C_1210","~","10u 50V X7R Murata",""
"","","C62","100n 50V X7R","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C63","10u 25V X5R","Device:C","Capacitors_SMD:C_0603","~","GRM188R61E106KA73D",""
"","","C64","100u 16V","Device:CP","Capacitors_Tantalum_SMD:CP_Tantalum_Case-D_EIA-7343-31_Reflow","~","tantal, case D",""
"","","C65","100n 50V X7R","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C66","GRM31CR71A226KE15L","Device:C","Capacitors_SMD:C_1206","~","22u 10V X7R Murata",""
"","","C67","100n 50V X7R","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C68","100n 50V X7R","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C69","100n 50V X7R","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C70","GRM31CR71A226KE15L","Device:C","Capacitors_SMD:C_1206","~","22u 10V X7R Murata",""
"","","C71","10u 25V X5R","Device:C","Capacitors_SMD:C_0603","~","GRM188R61E106KA73D",""
"","","C72","100n 50V X7R","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C73","100p C0G 50V","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C74","100n 50V X7R","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C75","100n 50V X7R","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C76","100p C0G 50V","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C78","100n 50V X7R","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C79","GRM31CR71A226KE15L","Device:C","Capacitors_SMD:C_1206","~","22u 10V X7R Murata",""
"","","C80","GRM31CR71A226KE15L","Device:C","Capacitors_SMD:C_1206","~","22u 10V X7R Murata",""
"","","C81","100p C0G 50V","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C82","100p 50V C0G","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C83","100n 50V X7R","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C84","DNP","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C85","100n 50V X7R","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C86","100p 50V C0G","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C87","DNP","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C88","DNP","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C89","100p 50V C0G","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C90","10u 25V X5R","Device:C","Capacitors_SMD:C_0603","~","GRM188R61E106KA73D",""
"","","C91","100n 50V X7R","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C92","100n 50V X7R","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C93","100n 50V X7R","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C94","10u 25V X5R","Device:C","Capacitors_SMD:C_0603","~","GRM188R61E106KA73D",""
"","","C95","100n 50V X7R","Device:C","Capacitors_SMD:C_0603","~","",""
"","","C96","470n 25V X7R","Device:C","Capacitors_SMD:C_0603","~","",""
"","","CUR1","TestPoint","Connector:TestPoint","Connectors_TestPoints:Test_Point_THTPad_1.5x1.5mm_Drill0.7mm","~","",""
"","","CUR2","TestPoint","Connector:TestPoint","Connectors_TestPoints:Test_Point_THTPad_1.5x1.5mm_Drill0.7mm","~","",""
"","","CUR3","TestPoint","Connector:TestPoint","Connectors_TestPoints:Test_Point_THTPad_1.5x1.5mm_Drill0.7mm","~","",""
"","","D1","2BZX84C15","Device:D_Zener_x2_ACom_KKA","Package_TO_SOT_SMD:SOT-23","~","",""
"","","D2","SL54-3G","Device:D_Schottky","Diodes_SMD:D_SMB","~","Diotec SL54-3G",""
"","","D3","SL54-3G","Device:D_Schottky","Diodes_SMD:D_SMB","~","Diotec SL54-3G",""
"","","D4","SL54-3G","Device:D_Schottky","Diodes_SMD:D_SMB","~","Diotec SL54-3G",""
"","","D5","BZT52C18","Device:D_Zener_ALT","Diodes_SMD:D_SOD-123","~","",""
"","","D6","BZT52C18","Device:D_Zener_ALT","Diodes_SMD:D_SOD-123","~","",""
"","","D7","SL54-3G","Device:D_Schottky","Diodes_SMD:D_SMB","~","Diotec SL54-3G",""
"","","D8","SL54-3G","Device:D_Schottky","Diodes_SMD:D_SMB","~","Diotec SL54-3G",""
"","","D9","BZT52C18","Device:D_Zener_ALT","Diodes_SMD:D_SOD-123","~","",""
"","","D10","2BZX84C15","Device:D_Zener_x2_ACom_KKA","Package_TO_SOT_SMD:SOT-23","~","",""
"","","D11","SL54-3G","Device:D_Schottky","Diodes_SMD:D_SMB","~","Diotec SL54-3G",""
"","","D19","2BZX84C15","Device:D_Zener_x2_ACom_KKA","Package_TO_SOT_SMD:SOT-23","~","",""
"","","D20","SL54-3G","Device:D_Schottky","Diodes_SMD:D_SMB","~","Diotec SL54-3G",""
"","","D24","SL54-3G","Device:D_Schottky","Diodes_SMD:D_SMB","~","Diotec SL54-3G",""
"","","D25","SL54-3G","Device:D_Schottky","Diodes_SMD:D_SMB","~","Diotec SL54-3G",""
"","","D26","SL54-3G","Device:D_Schottky","Diodes_SMD:D_SMB","~","Diotec SL54-3G",""
"","","D28","SMAJ16A","Device:D_Zener","Diodes_SMD:D_SMA","~","",""
"","","D30","SL54-3G","Device:D_Schottky","Diodes_SMD:D_SMB","~","Diotec SL54-3G",""
"","","D35","SL54-3G","Device:D_Schottky","Diodes_SMD:D_SMB","~","Diotec SL54-3G",""
"","","D36","SL54-3G","Device:D_Schottky","Diodes_SMD:D_SMB","~","Diotec SL54-3G",""
"","","D37","SL54-3G","Device:D_Schottky","Diodes_SMD:D_SMB","~","Diotec SL54-3G",""
"","","D38","SL54-3G","Device:D_Schottky","Diodes_SMD:D_SMB","~","Diotec SL54-3G",""
"","","DACIN1","TestPoint","Connector:TestPoint","Connectors_TestPoints:Test_Point_THTPad_1.5x1.5mm_Drill0.7mm","~","",""
"","","DACIN2","TestPoint","Connector:TestPoint","Connectors_TestPoints:Test_Point_THTPad_1.5x1.5mm_Drill0.7mm","~","",""
"","","DACIN3","TestPoint","Connector:TestPoint","Connectors_TestPoints:Test_Point_THTPad_1.5x1.5mm_Drill0.7mm","~","",""
"","","DACIN4","TestPoint","Connector:TestPoint","Connectors_TestPoints:Test_Point_THTPad_1.5x1.5mm_Drill0.7mm","~","",""
"","","FAN1","TE 1546551-3","Connector_Generic:Conn_01x03","TerminalBlock_4UCON:TerminalBlock_4UCON_19963_03x3.5mm_Straight","~","",""
"","","FID1","Fiducial","Mechanical:Fiducial","Fiducials:Fiducial_0.5mm_Dia_1mm_Outer","~","",""
"","","FID2","Fiducial","Mechanical:Fiducial","Fiducials:Fiducial_0.5mm_Dia_1mm_Outer","~","",""
"","","FID3","Fiducial","Mechanical:Fiducial","Fiducials:Fiducial_0.5mm_Dia_1mm_Outer","~","",""
"","","GND1","TestPoint","Connector:TestPoint","Connectors_TestPoints:Test_Point_Bridge_Pitch2.54mm_Drill1.0mm","~","",""
"","","H1","MountingHole","Mechanical:MountingHole","Mounting_Holes:MountingHole_3.2mm_M3_Pad_Via","~","",""
"","","H2","MountingHole","Mechanical:MountingHole","Mounting_Holes:MountingHole_3.2mm_M3_Pad_Via","~","",""
"","","J1"," MSTBA 2,5/ 2-G-5,08 1757242","Connector_Generic:Conn_01x02","Connectors_Phoenix:PhoenixContact_MSTBA-G_02x5.08mm_Angled","~","","Adam Tech, TE Connectivity, Xinya, Ninigi"
"","","J2"," MSTBA 2,5/ 2-G-5,08 1757242","Connector_Generic:Conn_01x02","Connectors_Phoenix:PhoenixContact_MSTBA-G_02x5.08mm_Angled","~","","Adam Tech, TE Connectivity, Xinya, Ninigi"
"","","J3"," MSTBA 2,5/ 2-G-5,08 1757242","Connector_Generic:Conn_01x02","Connectors_Phoenix:PhoenixContact_MSTBA-G_02x5.08mm_Angled","~","","Adam Tech, TE Connectivity, Xinya, Ninigi"
"","","J4"," MSTBA 2,5/ 2-G-5,08 1757242","Connector_Generic:Conn_01x02","Connectors_Phoenix:PhoenixContact_MSTBA-G_02x5.08mm_Angled","~","","Adam Tech, TE Connectivity, Xinya, Ninigi"
"","","J6","ZL231-10PG","Connector_Generic:Conn_02x05_Odd_Even","Connectors_IDC:IDC-Header_2x05_Pitch2.54mm_Straight","~","","Connfly"
"","","J7","ZL231-10PG","Connector_Generic:Conn_02x05_Odd_Even","Connectors_IDC:IDC-Header_2x05_Pitch2.54mm_Straight","~","","Connfly"
"","","JF1","Amphenol 031-6575","Connector:Conn_Coaxial_x2_Isolated","Connector_Coaxial:BNC_Amphenol_031-6575_Horizontal"," ~","031-6576",""
"","","JF2","Amphenol 031-6575","Connector:Conn_Coaxial_x2_Isolated","Connector_Coaxial:BNC_Amphenol_031-6575_Horizontal"," ~","031-6576",""
"","","JP1","SolderJumper_2_Open","Jumper:SolderJumper_2_Open","ff_lib:GS2_small","~","",""
"","","JP2","SolderJumper_2_Open","Jumper:SolderJumper_2_Open","ff_lib:GS2_small","~","",""
"","","JP3","SolderJumper_2_Open","Jumper:SolderJumper_2_Open","ff_lib:GS2_small","~","",""
"","","JP4","Jumper_NO_Small","Device:Jumper_NO_Small","ff_lib:GS2_small","~","",""
"","","L1","50225C Murata","Device:L_Core_Ferrite_Coupled_1423","ff_lib:L_CommonMode_Murata_5000","https://www.murata-ps.com/pub/data/magnetics/kmp_5000c.pdf","or 50475C",""
"","","L2","LQH44PH220MPRL","Device:L_Core_Ferrite","ff_lib:L_MURATA_LQH44","~","22u >0,5A 4x4mm",""
"","","L3","74477710 ","Device:L_Core_Ferrite","Inductors_SMD:L_Wuerth_HCM-7050","~","10u >2A 7x7mm",""
"","","L4","33uH 200mA","Device:L","Inductors_SMD:L_0805","~","Viking NL05JTC330",""
"","","L5","LQH44PH220MPRL","Device:L_Core_Ferrite","ff_lib:L_MURATA_LQH44","~","22u >0,5A 4x4mm",""
"","","L6","74477710 ","Device:L_Core_Ferrite","Inductors_SMD:L_Wuerth_HCM-7050","~","10u >2A 7x7mm",""
"","","L7","LQH44PH220MPRL","Device:L_Core_Ferrite","ff_lib:L_MURATA_LQH44","~","22u >0,5A 4x4mm",""
"","","L8","SRP3212-3R3M","Device:L_Core_Ferrite","ff_lib:L_Bourns_SRP3212","~","3,3u >2A 4x4mm",""
"","","M1","NUCLEO-H743ZI2","ff:NUCLEO-H743ZI2","ff_lib:MODULE_NUCLEO-F746ZG_mini_M","STMicroelectronics","po1:DS1023-2*8S21,DS1023-2*10S21,DS1023-2*16S21,DS1023-2*17S21",""
"","","PD7","LAM 5K 150 12V","Mechanical:Heatsink_Pad","ff_lib:Heatsink_50x50x150mm_with_fan_C","https://www.fischerelektronik.de/web_fischer/en_GB/VA/LAM3K10012/datasheet.xhtml?branch=heatsinks","dodać: THFU4 – 3szt., wkręt do metalu – 3 szt (Φmax 3mm)",""
"","","R1","1k 1%","Device:R","Resistors_SMD:R_0603","~","",""
"","","R2","1k 1%","Device:R","Resistors_SMD:R_0603","~","",""
"","","R3","10k 1%","Device:R","Resistors_SMD:R_0603","~","",""
"","","R4","10k 1%","Device:R","Resistors_SMD:R_0603","~","",""
"","","R5","1k 1%","Device:R","Resistors_SMD:R_0603","~","",""
"","","R6","1k 1%","Device:R","Resistors_SMD:R_0603","~","",""
"","","R7","10R","Device:R","Resistors_SMD:R_0603","~","",""
"","","R8","10R","Device:R","Resistors_SMD:R_0603","~","",""
"","","R9","1k 1%","Device:R","Resistors_SMD:R_0603","~","",""
"","","R10","1k 1%","Device:R","Resistors_SMD:R_0603","~","",""
"","","R11","14k 1%","Device:R","Resistors_SMD:R_0603","~","",""
"","","R12","0R02 0,5% 1W 50ppm","Device:R","Resistors_SMD:R_2512","~","LVK24R020DER",""
"","","R13","1k 1%","Device:R","Resistors_SMD:R_0603","~","",""
"","","R14","1k 1%","Device:R","Resistors_SMD:R_0603","~","",""
"","","R15","1k 1%","Device:R","Resistors_SMD:R_0603","~","",""
"","","R16","10k 1%","Device:R","Resistors_SMD:R_0603","~","",""
"","","R17","10k 1%","Device:R","Resistors_SMD:R_0603","~","",""
"","","R18","1k 1%","Device:R","Resistors_SMD:R_0603","~","",""
"","","R19","10R","Device:R","Resistors_SMD:R_0603","~","",""
"","","R20","10R","Device:R","Resistors_SMD:R_0603","~","",""
"","","R21","1k 1%","Device:R","Resistors_SMD:R_0603","~","",""
"","","R22","1k 1%","Device:R","Resistors_SMD:R_0603","~","",""
"","","R23","14k 1%","Device:R","Resistors_SMD:R_0603","~","",""
"","","R24","0R02 0,5% 1W 50ppm","Device:R","Resistors_SMD:R_2512","~","LVK24R020DER",""
"","","R25","1k 1%","Device:R","Resistors_SMD:R_0603","~","",""
"","","R26","1k 1%","Device:R","Resistors_SMD:R_0603","~","",""
"","","R27","1k 1%","Device:R","Resistors_SMD:R_0603","~","",""
"","","R28","10k 1%","Device:R","Resistors_SMD:R_0603","~","",""
